Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
;;;81 a 90;74 ;1.102 ;285 ;105 ;12 ;14.102 ;4.011 ;896 ;200 ;;;;;;20.787 
;;;91 a 100;9 ;118 ;40 ;1 ;1 ;5.629 ;1.449 ;98 ;11 ;;;;;;7.356 
;;;101 a 120;;13 ;;;;1.231 ;129 ;3 ;;;;;;;1.376 
;;;Mais de 120;;;;;;1 ;;;;;;;;;1 
;;;Total;22.957 ;363.026 ;32.540 ;89.891 ;54.475 ;173.267 ;28.895 ;21.418 ;12.352 ;1 ;8 ;;;;798.830 
;;Feminino;18 a 21;522 ;9.136 ;7 ;5 ;;5.974 ;3 ;;1 ;;;;;;15.648 
;;;22 a 25;1.516 ;18.674 ;19 ;100 ;14 ;12.406 ;3 ;14 ;2 ;;;;;;32.748 
;;;26 a 30;3.771 ;32.781 ;63 ;471 ;58 ;19.963 ;10 ;48 ;3 ;;;;;;57.168 
;;;31 a 40;9.193 ;77.705 ;153 ;2.075 ;422 ;40.383 ;26 ;247 ;20 ;;3 ;;;;130.227 
;;;41 a 50;8.368 ;56.842 ;158 ;2.003 ;415 ;45.109 ;45 ;507 ;52 ;1 ;;;;;113.500 
;;;51 a 60;4.595 ;23.613 ;194 ;710 ;122 ;40.829 ;193 ;426 ;39 ;1 ;;;;;70.722 
;;;61 a 70;1.155 ;5.523 ;76 ;122 ;20 ;31.269 ;197 ;230 ;19 ;;;;;;38.611 
;;;71 a 80;96 ;553 ;11 ;12 ;1 ;13.970 ;75 ;41 ;3 ;;;;;;14.762 
;;;81 a 90;3 ;20 ;1 ;;;4.116 ;18 ;8 ;;;;;;;4.166 
;;;91 a 100;;;;;;854 ;4 ;;;;;;;;858 
;;;101 a 120;;1 ;;;;70 ;;;;;;;;;71 
;;;Total;29.219 ;224.848 ;682 ;5.498 ;1.052 ;214.943 ;574 ;1.521 ;139 ;2 ;3 ;;;;478.481 
;;Total;;52.176 ;587.874 ;33.222 ;95.389 ;55.527 ;388.210 ;29.469 ;22.939 ;12.491 ;3 ;11 ;;;;1.277.311 
;Mato Grosso;Masculino;18 a 21;290 ;26.072 ;68 ;54 ;1 ;4.622 ;10 ;3 ;1 ;;;;;;31.121 
;;;22 a 25;998 ;50.886 ;383 ;2.691 ;809 ;7.239 ;28 ;94 ;27 ;;;1 ;;;63.156 
;;;26 a 30;1.642 ;82.401 ;937 ;9.131 ;4.065 ;10.427 ;55 ;334 ;120 ;;;1 ;;;109.113 
;;;31 a 40;2.976 ;155.300 ;2.906 ;38.609 ;22.362 ;20.805 ;169 ;1.458 ;822 ;;;1 ;;;245.408 
;;;41 a 50;2.530 ;114.847 ;7.115 ;40.187 ;28.550 ;24.720 ;1.233 ;3.654 ;3.483 ;;;;;;226.319 
;;;51 a 60;2.032 ;69.945 ;15.119 ;21.086 ;17.985 ;25.259 ;4.557 ;5.285 ;5.796 ;;1 ;;;;167.065 
;;;61 a 70;1.084 ;31.489 ;9.411 ;7.724 ;6.827 ;28.713 ;8.927 ;6.160 ;6.377 ;;;;;;106.712 
;;;71 a 80;407 ;9.689 ;1.759 ;1.443 ;835 ;24.378 ;5.193 ;3.487 ;2.016 ;;1 ;;;;49.208 
;;;81 a 90;125 ;1.659 ;395 ;213 ;58 ;11.858 ;2.478 ;1.186 ;313 ;;;;;;18.285 
;;;91 a 100;12 ;173 ;33 ;10 ;;4.079 ;477 ;157 ;31 ;;;;;;4.972 
;;;101 a 120;1 ;4 ;2 ;;;594 ;16 ;2 ;1 ;;;;;;620 
;;;Total;12.097 ;542.465 ;38.128 ;121.148 ;81.492 ;162.694 ;23.143 ;21.820 ;18.987 ;;2 ;3 ;;;1.021.979 
;;Feminino;18 a 21;220 ;11.856 ;;1 ;;4.706 ;;1 ;;;;;;;16.784 
;;;22 a 25;751 ;25.239 ;9 ;71 ;5 ;9.425 ;2 ;7 ;;;;;;;35.509 
;;;26 a 30;1.588 ;47.590 ;25 ;348 ;69 ;15.873 ;1 ;29 ;10 ;;;;;;65.533 
;;;31 a 40;3.649 ;109.795 ;102 ;1.810 ;346 ;38.045 ;12 ;161 ;22 ;;1 ;;;;153.943 
;;;41 a 50;3.437 ;78.539 ;141 ;1.772 ;414 ;44.697 ;54 ;332 ;61 ;;2 ;;;;129.449 
;;;51 a 60;1.960 ;33.424 ;264 ;667 ;201 ;38.219 ;210 ;336 ;59 ;;;;;;75.340 
;;;61 a 70;554 ;7.882 ;117 ;121 ;44 ;26.127 ;185 ;186 ;34 ;;;;;;35.250 
;;;71 a 80;97 ;773 ;18 ;6 ;3 ;9.922 ;61 ;41 ;7 ;;;;;;10.928 
;;;81 a 90;6 ;46 ;2 ;1 ;;2.157 ;17 ;7 ;2 ;;;;;;2.238 
;;;91 a 100;;1 ;;;;323 ;3 ;1 ;;;;;;;328 
;;;101 a 120;;;;;;21 ;;;;;;;;;21 
;;;Total;12.262 ;315.145 ;678 ;4.797 ;1.082 ;189.515 ;545 ;1.101 ;195 ;;3 ;;;;525.323 
;;Total;;24.359 ;857.610 ;38.806 ;125.945 ;82.574 ;352.209 ;23.688 ;22.921 ;19.182 ;;5 ;3 ;;;1.547.302 
;Total;;;194.664 ;3.214.601 ;109.987 ;497.662 ;231.023 ;3.039.797 ;91.790 ;201.893 ;67.946 ;3 ;29 ;6 ;;;7.649.401 
Nordeste;Alagoas;Masculino;18 a 21;586 ;11.894 ;45 ;25 ;;2.854 ;3 ;;;;;;;;15.407 
;;;22 a 25;2.055 ;26.232 ;105 ;1.557 ;140 ;6.021 ;3 ;91 ;11 ;;;;;;36.215 
;;;26 a 30;3.753 ;37.162 ;149 ;4.598 ;717 ;11.334 ;12 ;427 ;73 ;;;;;;58.225 
;;;31 a 40;6.653 ;66.023 ;429 ;14.843 ;3.414 ;27.662 ;70 ;2.698 ;736 ;4 ;;;;;122.532 
;;;41 a 50;5.344 ;46.170 ;836 ;14.219 ;3.589 ;30.925 ;427 ;5.835 ;1.810 ;11 ;4 ;;;;109.170 
;;;51 a 60;3.280 ;23.505 ;1.588 ;6.702 ;1.651 ;28.208 ;1.480 ;6.009 ;2.076 ;6 ;;;;;74.505 
;;;61 a 70;1.357 ;9.878 ;704 ;2.712 ;647 ;26.155 ;1.754 ;6.130 ;1.902 ;4 ;;;;;51.243 
;;;71 a 80;439 ;2.904 ;149 ;560 ;114 ;17.925 ;1.127 ;3.046 ;695 ;2 ;;;;;26.961 
;;;81 a 90;114 ;581 ;50 ;88 ;23 ;7.430 ;648 ;913 ;133 ;;;;;;9.980 
;;;91 a 100;15 ;91 ;4 ;13 ;1 ;2.399 ;149 ;116 ;12 ;;;;;;2.800 
;;;101 a 120;;9 ;2 ;;;316 ;11 ;3 ;;;;;;;341 
;;;Total;23.596 ;224.449 ;4.061 ;45.317 ;10.296 ;161.229 ;5.684 ;25.268 ;7.448 ;27 ;4 ;;;;507.379 
;;Feminino;18 a 21;102 ;2.598 ;1 ;1 ;;2.577 ;;;;;;;;;5.279 
;;;22 a 25;452 ;6.352 ;1 ;23 ;2 ;6.694 ;;;;;;;;;13.524 
;;;26 a 30;883 ;10.106 ;1 ;43 ;;13.794 ;1 ;7 ;;;1 ;;;;24.836 
;;;31 a 40;1.866 ;17.380 ;;197 ;16 ;36.174 ;3 ;77 ;1 ;4 ;;;;;55.718 
;;;41 a 50;1.097 ;8.835 ;10 ;193 ;14 ;32.697 ;6 ;169 ;3 ;1 ;;;;;43.025 
;;;51 a 60;328 ;2.354 ;15 ;55 ;8 ;20.490 ;32 ;135 ;6 ;2 ;;;;;23.425 
;;;61 a 70;51 ;419 ;4 ;14 ;;13.160 ;18 ;68 ;2 ;1 ;1 ;;;;13.738 
;;;71 a 80;4 ;57 ;;;;6.067 ;5 ;17 ;;;;;;;6.150 
;;;81 a 90;;6 ;;;;1.769 ;3 ;3 ;;;;;;;1.781 
;;;91 a 100;;;;;;394 ;;;;;;;;;394 
;;;101 a 120;;;;;;13 ;;;;;;;;;13 
;;;Total;4.783 ;48.107 ;32 ;526 ;40 ;133.829 ;68 ;476 ;12 ;8 ;2 ;;;;187.883 
;;Total;;28.379 ;272.556 ;4.093 ;45.843 ;10.336 ;295.058 ;5.752 ;25.744 ;7.460 ;35 ;6 ;;;;695.262 
;Bahia;Masculino;18 a 21;847 ;43.430 ;79 ;150 ;3 ;10.078 ;6 ;6 ;1 ;;1 ;;;;54.601 
;;;22 a 25;3.242 ;103.381 ;254 ;5.564 ;458 ;20.763 ;28 ;324 ;24 ;;;;;;134.038 
;;;26 a 30;6.637 ;160.845 ;291 ;19.281 ;2.713 ;38.674 ;27 ;1.584 ;247 ;2 ;1 ;;;;230.302 
;;;31 a 40;15.859 ;341.972 ;1.013 ;80.452 ;16.439 ;110.289 ;168 ;12.555 ;2.550 ;;2 ;;;;581.299 
;;;41 a 50;13.921 ;267.161 ;3.277 ;71.961 ;16.629 ;159.262 ;2.683 ;36.783 ;8.629 ;;7 ;;;;580.313 
;;;51 a 60;8.371 ;127.267 ;6.086 ;30.757 ;6.656 ;144.990 ;7.242 ;38.275 ;7.284 ;;5 ;;;;376.933 
;;;61 a 70;3.406 ;49.621 ;3.865 ;11.242 ;2.430 ;132.568 ;10.826 ;33.360 ;5.412 ;;3 ;;;;252.733 
;;;71 a 80;838 ;12.392 ;688 ;1.871 ;338 ;88.912 ;5.530 ;15.801 ;1.783 ;;3 ;;;;128.156 
;;;81 a 90;154 ;1.938 ;142 ;273 ;33 ;37.523 ;2.195 ;5.004 ;336 ;;;;;;47.598 
;;;91 a 100;13 ;164 ;10 ;23 ;4 ;11.785 ;404 ;618 ;37 ;;;;;;13.058 
;;;101 a 120;1 ;16 ;;;;1.333 ;15 ;15 ;;;;;;;1.380 
;;;Total;53.289 ;1.108.187 ;15.705 ;221.574 ;45.703 ;756.177 ;29.124 ;144.325 ;26.303 ;2 ;22 ;;;;2.400.411 
;;Feminino;18 a 21;196 ;11.600 ;1 ;;;7.869 ;;;;;;;;;19.666 
;;;22 a 25;717 ;31.399 ;1 ;80 ;1 ;19.323 ;;3 ;;;;;;;51.524 
;;;26 a 30;1.968 ;57.073 ;;235 ;12 ;40.254 ;1 ;37 ;2 ;;1 ;;;;99.583 
;;;31 a 40;6.342 ;134.879 ;7 ;1.229 ;100 ;127.793 ;6 ;349 ;13 ;2 ;2 ;;;;270.722 
;;;41 a 50;5.375 ;89.416 ;37 ;1.272 ;118 ;152.117 ;48 ;1.009 ;41 ;2 ;5 ;;;;249.440 
;;;51 a 60;2.202 ;28.073 ;61 ;437 ;31 ;102.761 ;179 ;897 ;23 ;1 ;;;;;134.665 
;;;61 a 70;437 ;4.983 ;33 ;104 ;10 ;67.730 ;156 ;510 ;17 ;;;;;;73.980 
;;;71 a 80;27 ;444 ;7 ;12 ;;30.271 ;51 ;136 ;3 ;;;;;;30.951 
;;;81 a 90;;27 ;;2 ;;9.019 ;14 ;20 ;1 ;;;;;;9.083 
;;;91 a 100;;;;;;1.700 ;2 ;3 ;;;;;;;1.705 
;;;101 a 120;;;;;;89 ;;;;;;;;;89 
;;;Total;17.264 ;357.894 ;147 ;3.371 ;272 ;558.926 ;457 ;2.964 ;100 ;5 ;8 ;;;;941.408 
;;Total;;70.553 ;1.466.081 ;15.852 ;224.945 ;45.975 ;1.315.103 ;29.581 ;147.289 ;26.403 ;7 ;30 ;;;;3.341.819 
;Ceará;Masculino;18 a 21;5.858 ;32.433 ;78 ;103 ;4 ;9.806 ;8 ;7 ;;;;;;;48.297 
;;;22 a 25;15.696 ;73.171 ;177 ;2.964 ;211 ;19.497 ;29 ;188 ;16 ;;2 ;;;;111.951 
;;;26 a 30;27.301 ;129.256 ;299 ;11.041 ;1.137 ;33.455 ;35 ;704 ;84 ;;3 ;;;;203.315 
;;;31 a 40;51.375 ;260.821 ;831 ;47.226 ;6.905 ;75.884 ;122 ;4.040 ;601 ;;14 ;1 ;;;447.820 
;;;41 a 50;35.580 ;177.933 ;2.350 ;46.425 ;8.231 ;75.040 ;710 ;9.023 ;1.581 ;3 ;12 ;;;;356.888 
;;;51 a 60;21.309 ;95.313 ;4.338 ;22.945 ;4.163 ;64.601 ;2.595 ;10.589 ;1.946 ;1 ;13 ;;;;227.813 
;;;61 a 70;7.944 ;43.712 ;3.081 ;8.138 ;1.718 ;59.481 ;4.048 ;9.092 ;1.882 ;6 ;11 ;;;;139.113 
;;;71 a 80;2.220 ;14.457 ;794 ;1.346 ;293 ;45.094 ;2.469 ;3.907 ;757 ;1 ;4 ;;;;71.342 
;;;81 a 90;536 ;3.048 ;205 ;184 ;27 ;21.613 ;1.199 ;1.296 ;189 ;;;;;;28.297 
;;;91 a 100;68 ;410 ;18 ;7 ;2 ;7.461 ;219 ;145 ;22 ;;;;;;8.352 
;;;101 a 120;7 ;51 ;;;;837 ;10 ;4 ;;;;;;;909 
;;;Mais de 120;;;;;;1 ;;;;;;;;;1 
;;;Total;167.894 ;830.605 ;12.171 ;140.379 ;22.691 ;412.770 ;11.444 ;38.995 ;7.078 ;11 ;59 ;1 ;;;1.644.098 
;;Feminino;18 a 21;2.389 ;8.923 ;;1 ;;10.365 ;;1 ;;;;;;;21.679 
;;;22 a 25;7.512 ;22.050 ;1 ;26 ;2 ;25.315 ;;8 ;;;2 ;;;;54.916 
;;;26 a 30;15.603 ;44.433 ;;129 ;4 ;50.101 ;;27 ;;;4 ;;;;110.301 
;;;31 a 40;36.458 ;92.515 ;11 ;781 ;36 ;128.934 ;2 ;201 ;9 ;1 ;6 ;;;;258.954 
;;;41 a 50;22.859 ;51.538 ;22 ;693 ;37 ;113.683 ;15 ;423 ;9 ;;10 ;;;;189.289 
;;;51 a 60;7.766 ;16.836 ;40 ;269 ;22 ;74.666 ;57 ;431 ;10 ;1 ;2 ;;;;100.100 
;;;61 a 70;1.300 ;3.563 ;22 ;71 ;2 ;48.349 ;57 ;235 ;3 ;1 ;5 ;;;;53.608 
;;;71 a 80;128 ;431 ;2 ;5 ;1 ;23.115 ;25 ;48 ;4 ;;;;;;23.759 
;;;81 a 90;5 ;28 ;1 ;2 ;;7.368 ;11 ;7 ;;;;;;;7.422 
;;;91 a 100;;3 ;;;;1.442 ;;1 ;;;;;;;1.446 
;;;101 a 120;;;;;;79 ;;;;;;;;;79 
;;;Total;94.020 ;240.320 ;99 ;1.977 ;104 ;483.417 ;167 ;1.382 ;35 ;3 ;29 ;;;;821.553 
;;Total;;261.914 ;1.070.925 ;12.270 ;142.356 ;22.795 ;896.187 ;11.611 ;40.377 ;7.113 ;14 ;88 ;1 ;;;2.465.651 
;Maranhão;Masculino;18 a 21;672 ;12.380 ;;38 ;;3.816 ;;1 ;;;;;;;16.907 
;;;22 a 25;3.254 ;30.218 ;5 ;1.513 ;119 ;8.970 ;1 ;131 ;4 ;;;;;;44.215 
;;;26 a 30;6.701 ;50.771 ;42 ;6.479 ;867 ;16.762 ;7 ;694 ;82 ;;1 ;;;;82.406 
;;;31 a 40;13.984 ;104.395 ;310 ;30.664 ;6.416 ;40.835 ;60 ;5.607 ;804 ;;;;;;203.075 
;;;41 a 50;9.991 ;71.597 ;2.235 ;26.285 ;6.841 ;39.249 ;1.006 ;9.267 ;1.866 ;;1 ;;;;168.338 
;;;51 a 60;5.397 ;32.020 ;4.018 ;12.121 ;2.753 ;29.381 ;3.689 ;10.226 ;1.915 ;;;;;;101.520 
